Source,Source_Type,Fire_Category,Souce_ID,Fire_Name,DateTime,Latitude,Longitude,Magnitude,Cause_or_Type
FF,FO,WF,8782,DUFF,2006-07-07T20:15:00Z,47.09722222,-114.52972222,0.1,1
FF,FO,WF,9018,CYR,2006-07-06T22:01:00Z,47.01277778,-114.57555556,0.1,1
FF,FO,WF,9020,KETTLE,2006-07-07T01:00:00Z,47.095,-114.57555556,0.1,1
FF,FO,WF,9191,JUNIPER,2006-07-07T01:00:00Z,46.99027778,-114.60388889,0.1,1
FF,FO,WF,9196,FISH,2006-07-13T20:30:00Z,46.92194444,-114.70194444,0.25,9
FF,FO,WF,9197,SIXMILE #2,2006-07-21T23:00:00Z,47.07361111,-114.30472222,0.1,9
FF,FO,WF,9211,QUARTZ MINE,2006-07-06T15:00:00Z,47.01333333,-114.81222222,0.1,1
FF,FO,WF,10053,ROMAN #1,2006-08-09T05:00:00Z,47.0525,-114.24027778,0.1,1
FF,FO,WF,10335,HEINEMAN,2006-08-10T21:00:00Z,46.97138889,-114.85083333,0.1,1
FF,FO,WF,10826,COOPER GULCH,2006-05-17T22:00:00Z,47.53666667,-115.62,0.1,7
FF,FO,WF,10827,GAME RANGE,2006-05-17T22:30:00Z,47.63333333,-115.33333333,60.0,3
FF,FO,WF,10830,BIG HOLE,2006-05-20T23:00:00Z,47.56194444,-115.02416667,0.1,1
FF,FO,WF,10844,WET EDDY,2006-06-14T21:00:00Z,47.51694444,-115.05777778,0.1,1
FF,FO,WF,10855,BAD ROCK,2006-07-04T01:30:00Z,47.54527778,-115.05833333,0.25,1
FF,FO,WF,10860,BAD ROCK #2,2006-07-12T12:30:00Z,47.54111111,-115.04305556,0.1,1
FF,FO,WF,10861,WEST DEE,2006-07-12T15:00:00Z,47.44972222,-115.10666667,0.1,1
FF,FO,WF,10867,ROCKY POINT,2006-08-05T00:50:00Z,47.40111111,-114.83416667,7.25,9
FF,FO,WF,10869,BAD ROCK #3,2006-08-09T09:03:00Z,47.535,-115.03777778,0.3,1
FF,FO,WF,10874,BIG ROCK,2006-08-09T17:41:00Z,47.87833333,-114.91861111,0.5,1
FF,FO,WF,10889,PROSPECT CREEK 6,2006-08-16T23:30:00Z,47.56583333,-115.44972222,0.1,1
FF,FO,WF,10892,PATS KNOB,2006-08-17T02:30:00Z,47.38777778,-114.82111111,0.1,1
FF,FO,WF,10893,OWENS POINT,2006-08-18T21:45:00Z,47.70916667,-115.33166667,0.5,1
FF,FO,WF,10894,GRAVES CREEK #2,2006-08-18T21:45:00Z,47.73777778,-115.32888889,0.5,1
FF,FO,WF,10895,WINNIEMUCK,2006-08-19T01:30:00Z,47.7275,-115.32666667,0.1,1
FF,FO,WF,10896,MOUNT HEADLY,2006-08-19T03:26:00Z,47.73722222,-115.26305556,0.1,1
FF,FO,WF,10897,EMMA,2006-08-21T00:15:00Z,47.62694444,-115.64416667,0.1,1
FF,FO,WF,11228,SLEEPY,2006-08-26T01:29:00Z,47.59777778,-115.13833333,0.3,1
FF,FO,WF,11425,GOAT,2006-08-17T21:40:00Z,47.61305556,-115.22666667,0.1,1
FF,FO,WF,11543,KNOX CREEK,2006-09-08T17:39:00Z,47.5125,-115.32833333,0.1,1
FF,FO,WF,11544,GOLD RUSH,2006-09-08T17:39:00Z,47.51305556,-115.32055556,0.1,1
FF,FO,WF,11560,DRIFT #2,2006-08-18T22:00:00Z,47.09972222,-114.53111111,0.1,1
FF,FO,WF,11565,KREIS POND,2006-08-01T17:00:00Z,47.09972222,-114.42416667,0.1,9
FF,FO,WF,11568,EDITH,2006-08-20T21:00:00Z,47.12611111,-114.29388889,0.1,9
FF,FO,WF,11768,RIVER JUNCTION,2006-04-20T11:00:00Z,47.3425,-114.78555556,3.0,3
FF,FO,WF,13309,KIRCHEY CREEK,2006-08-18T00:00:00Z,47.01777778,-114.45777778,0.1,1
FF,FO,WF,13331,MCCORMICK CREEK #2,2006-08-20T22:01:00Z,47.15,-114.49583333,0.2,1
FF,FO,WF,13336,NINE WHITETAIL,2006-09-26T19:01:00Z,47.0975,-114.38,0.1,2
FF,FO,WF,13338,DRIFT #1,2006-08-18T21:01:00Z,47.1,-114.52722222,0.75,1
FF,FO,WF,13592,JUNGLE CREEK,2006-10-03T22:35:00Z,47.72111111,-115.16444444,0.5,2
FF,FO,WF,13812,MOTORCYCLE TRAILHEAD,2006-03-03T21:00:00Z,46.83222222,-114.13111111,0.1,9
FF,FO,WF,13820,SLEEMAN GULCH,2006-04-29T18:25:00Z,46.78361111,-114.14194444,0.25,3
FF,FO,WF,13825,BLUE MOUNTAIN #1,2006-05-19T20:53:00Z,46.83305556,-114.10722222,0.2,6
FF,FO,WF,13880,BEAR CREEK,2006-05-25T15:00:00Z,46.78194444,-114.31388889,0.1,9
FF,FO,WF,13884,ELK MEADOWS #1,2006-06-15T18:30:00Z,46.73277778,-114.31972222,0.1,9
